epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,21380,1.01253,1.05655,0.00681,0.72278,0.76848,0.83343,0.65344,0.83314,0.73439,0.00486,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,21658.7,1.01061,1.05828,0.0068,0.72828,0.76165,0.83346,0.65375,0.83223,0.73361,0.00485,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,21937.1,1.00767,1.05328,0.00675,0.73019,0.76067,0.83371,0.65424,0.83134,0.73289,0.00484,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,22218.7,1.00909,1.04982,0.00678,0.72961,0.76199,0.83362,0.65413,0.83078,0.73198,0.00484,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,22501.7,1.009,1.04538,0.00675,0.73001,0.76075,0.83391,0.65463,0.83009,0.73162,0.00483,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,22781.1,1.00282,1.04563,0.00674,0.72456,0.76848,0.83306,0.65381,0.82974,0.73186,0.00483,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,23062.6,1.00131,1.04627,0.00667,0.72542,0.7684,0.83412,0.65488,0.8292,0.72921,0.00483,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,23348.9,1.00155,1.04215,0.00669,0.73236,0.76067,0.83403,0.65519,0.82878,0.72877,0.00482,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,23635.2,0.9999,1.03608,0.00668,0.72888,0.76458,0.83429,0.65542,0.82858,0.72757,0.00482,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,23922.6,0.9956,1.03969,0.00667,0.72884,0.76507,0.83461,0.65577,0.82797,0.72633,0.00482,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,24206.6,0.99544,1.03114,0.00664,0.73161,0.76368,0.83515,0.6562,0.82783,0.72494,0.00482,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,24492,0.98707,1.03443,0.00659,0.73368,0.76237,0.83571,0.65664,0.82697,0.72237,0.00481,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,24781.3,0.98422,1.03077,0.00658,0.73297,0.76303,0.83612,0.65734,0.82653,0.72025,0.00481,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,25067.3,0.98748,1.02963,0.00661,0.73612,0.75971,0.83628,0.65733,0.82635,0.71926,0.0048,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,25352.8,0.9867,1.02663,0.00657,0.73715,0.75912,0.83644,0.65754,0.82591,0.71772,0.0048,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,25637,0.98363,1.02787,0.00653,0.73645,0.76075,0.83685,0.65834,0.82522,0.71536,0.0048,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,25918,0.97965,1.02521,0.0065,0.73513,0.76167,0.83701,0.65863,0.825,0.71405,0.00479,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,26204.3,0.97363,1.02577,0.00647,0.73658,0.76107,0.83754,0.65911,0.82456,0.71153,0.00479,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,26487.1,0.97516,1.02541,0.0065,0.73646,0.76044,0.83794,0.65965,0.8241,0.71021,0.00479,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
